X0	X1	X2	X3	Y_true	Y_pred	
4.52146	2.56369	1.89446	3.26987	6.71584	16.6579
1.998	3.56134	2.51295	2.71659	6.58219	6.76294
1.76458	3.53044	3.79768	4.13842	5.7168	7.38088
1.57195	3.65286	1.19017	3.63976	1.87762	5.18245
3.40989	3.27161	3.38456	4.04029	9.34526	11.6254
4.54635	3.46401	3.23576	1.94133	26.2494	19.3751
1.24222	3.73789	2.37521	3.5999	3.06364	6.82898
3.48669	1.37626	2.16063	1.32986	7.79628	14.4656
4.94463	2.80065	2.88695	3.99857	9.99834	16.6689
3.71292	2.2192	1.82009	1.54603	9.70034	16.6682
4.6678	3.77788	2.15936	4.98694	7.63572	9.37597
3.62115	4.39385	4.76393	4.52023	16.7686	20.4338
1.5236	1.33987	2.1065	4.03594	1.06549	5.18033
3.41026	2.59256	1.99604	2.42605	7.27422	9.47747
3.21766	2.93867	3.70198	2.9111	12.0245	13.7084
3.78147	2.04836	1.23898	4.72457	2.03128	9.37597
4.4335	4.00609	1.76981	4.84294	6.49059	9.37597
3.94746	1.29327	1.41625	1.27353	5.6772	16.6701
1.45273	1.85329	3.21623	4.85739	1.78268	5.44989
4.65096	1.37196	4.45462	4.01654	7.0769	15.5941
2.43602	4.5631	2.93215	2.85721	11.4074	15.4302
3.38225	4.33862	3.50641	2.53623	20.2876	20.3624
3.64829	3.97082	4.66885	3.63444	18.6098	20.4273
3.73255	1.03049	4.94378	2.83995	6.69575	12.7572
1.15928	3.61975	4.33618	1.84506	9.86196	15.7326
1.87294	3.53521	4.11611	2.41385	11.2905	7.38686
3.34783	3.07165	4.24845	4.91854	8.88239	12.0602
3.87184	1.55623	4.53118	3.84819	7.09491	13.0854
4.62968	3.90533	4.33846	2.40473	32.6196	30.7112
2.77676	3.47631	2.25029	1.9456	11.1646	11.3746
4.0671	3.98852	1.03902	3.3419	5.04341	9.37597
2.6934	4.46646	1.68733	1.40963	14.3999	16.9082
2.56374	1.31659	2.58036	4.37089	1.99267	5.17991
1.55608	1.23716	3.92374	3.36442	2.24517	7.31146
3.80017	2.40142	4.71447	1.63698	26.2822	25.8266
4.69437	1.88292	4.03462	3.62954	9.82565	16.18
1.82973	1.04067	1.73904	1.27294	2.60137	5.3318
2.33658	2.12075	3.84289	1.29062	14.7547	26.169
1.03004	1.65245	1.54279	2.27916	1.15216	5.18633
1.25807	4.48074	1.1575	2.19402	2.97394	5.57301
3.21515	2.66336	4.13542	1.60681	22.0387	16.2142
1.88074	1.73835	3.91147	1.76049	7.26396	12.8581
4.24727	3.58887	3.741	1.39787	40.7932	37.2626
3.5727	2.56028	4.7484	3.93461	11.039	14.284
4.28587	3.31678	4.1098	1.21166	48.2164	37.3305
2.69791	2.7846	4.96416	1.20243	31.0153	26.1782
4.30286	3.2021	3.11712	1.26598	33.9248	30.6177
4.52728	3.71139	1.43708	4.55101	5.30574	9.37597
2.07848	2.42798	4.03306	1.57253	12.9428	24.7523
2.02224	1.50422	4.84502	3.45235	4.26899	7.38584
4.64952	2.01673	1.90334	1.74231	10.2434	16.6701
4.18034	2.84137	1.20048	4.72941	3.01499	9.37597
4.23815	2.82328	2.93495	2.2803	15.4006	16.1814
2.51084	4.31009	3.23815	4.58551	7.64213	11.46
3.36404	2.46656	2.96463	3.43121	7.16931	6.90011
3.35951	1.23443	4.63868	3.26344	5.89467	12.3714
3.79417	3.95899	4.84528	4.31091	16.8831	20.4272
2.9519	1.3976	1.78321	3.2842	2.24005	5.22823
3.43377	2.79688	4.04003	1.84461	21.0341	25.6702
2.23616	2.29773	1.05081	1.96873	2.74246	5.19215
3.21256	4.05996	2.39639	2.36481	13.217	11.898
4.1035	1.37956	2.5671	1.12734	12.8908	16.6453
4.04669	4.23804	2.2079	4.22261	8.96733	9.38134
4.82395	2.57948	2.55019	1.89469	16.7482	16.6648
1.76233	1.71002	1.25224	2.61991	1.44042	5.17979
4.79185	4.05227	2.21197	1.41529	30.3485	16.5687
4.6692	1.744	4.43663	2.20966	16.3499	27.5158
3.76909	1.36164	4.4576	2.56385	8.92297	13.5706
3.29833	3.88599	4.33499	3.61463	15.3716	20.1717
3.17238	3.44319	1.4464	2.64287	5.97805	9.3791
2.81717	2.53675	4.09636	4.80863	6.08791	6.76162
2.6904	2.907	4.89746	3.98516	9.61142	7.38673
2.91634	1.76657	1.77705	2.04334	4.48052	8.75106
4.82622	1.45779	4.06765	1.94091	14.7449	15.3755
4.37812	1.13168	2.43339	2.2308	5.4046	16.6701
2.515	4.74134	2.29203	4.93303	5.54046	9.82198
2.3991	2.10819	4.93183	3.56446	6.99799	7.38641
1.49678	3.05002	2.23151	2.79829	3.64056	5.92412
2.68855	3.75495	4.32154	2.50648	17.4059	7.56618
2.07033	2.14984	1.91316	1.89215	4.50031	5.19632
2.90821	3.06037	2.87747	1.33493	19.1845	32.1634
3.88855	4.17097	3.06944	2.68845	18.5175	15.981
4.69111	3.84913	2.47878	1.12714	39.71	28.6926
1.05076	4.24085	3.27829	3.95361	3.69496	7.38523
1.7205	3.83307	4.26712	3.15886	8.9085	7.38686
2.94848	3.01209	4.90595	4.39755	9.90781	7.39744
4.65825	2.77003	3.8673	1.53412	32.5279	28.8101
1.69667	1.36628	1.68643	1.57358	2.48437	5.18383
4.83099	4.22044	2.01395	4.91567	8.35334	9.37597
1.05066	4.81778	1.31048	2.96563	2.23678	5.93565
4.11891	4.157	4.42815	1.26153	60.1018	37.3387
3.80475	3.1229	2.52148	2.94478	10.1739	9.44171
4.31789	1.18055	4.25774	4.65536	4.6621	14.7036
1.14037	4.65672	3.0924	4.27483	3.84151	7.38241
2.47515	3.01152	2.0563	3.12071	4.91158	5.28578
2.12165	1.74276	2.4727	1.64056	5.57303	5.48512
3.00049	3.53402	2.00157	4.38291	4.8425	9.35548
3.17781	2.44739	4.39025	2.53666	13.4604	13.2593
3.85262	1.00538	4.52447	3.56477	4.91611	7.9287
1.91103	2.34936	2.86546	3.65482	3.52001	5.49774
4.27084	1.89662	4.51742	1.81478	20.1632	30.4851
1.51283	2.04242	1.14417	4.51689	0.782682	5.1797
3.88219	1.72011	3.75173	1.01314	24.7284	35.0621
3.5296	2.43793	2.55986	4.74457	4.64264	9.31465
4.7265	2.09427	1.51762	3.56299	4.21621	16.6648
3.24381	4.00574	4.91179	4.28247	14.9033	14.6965
3.22616	3.76669	1.40658	1.18954	14.3692	9.8485
2.74579	3.21323	4.41826	1.3974	27.8959	26.2602
1.22054	1.01419	3.93531	4.15455	1.17253	7.19931
4.778	1.48173	4.74301	4.45957	7.5297	14.6548
1.33466	2.18988	1.20273	3.13002	1.12309	5.17999
3.89681	4.37705	2.62188	3.04816	14.6712	10.1922
4.59685	4.36106	4.20373	3.4038	24.7585	30.5274
1.47502	3.14612	4.47189	3.56007	5.82916	7.38686
1.36547	3.62165	4.40728	2.50669	8.69475	7.38686
2.73724	3.59506	2.08808	4.25892	4.82466	8.42237
1.08459	3.04453	1.43322	3.10533	1.52401	5.19637
3.50027	3.83822	1.65875	2.74976	8.10433	9.38405
3.23687	1.41629	4.8757	2.36986	9.43173	12.9387
3.092	3.8477	1.29995	1.61067	9.60194	9.40739
2.80184	3.28939	1.97664	1.17652	15.4842	28.0529
2.93692	4.35181	3.78021	3.7737	12.803	20.1015
3.07939	3.08536	2.59054	4.25912	5.77885	8.26422
3.71749	2.0367	2.8868	3.73177	5.85704	9.26525
2.2915	3.1746	2.88026	2.46625	8.49577	7.05991
4.5793	4.40103	1.98572	1.1126	35.9692	27.1685
4.40771	4.09549	2.33274	1.49315	28.2021	15.4683
3.70613	1.10985	2.00463	4.58157	1.79972	8.84032
4.23166	3.31822	3.4703	1.8058	26.9844	28.4386
1.2325	4.92845	1.14294	4.28701	1.61945	5.20622
1.47803	4.01367	4.30121	1.37208	18.5967	15.7336
4.05215	4.91567	2.20441	3.8429	11.4262	9.42567
3.57582	2.57118	1.25155	2.55884	4.49694	9.3763
1.11158	1.97643	4.28811	4.01045	2.34907	7.38525
4.12193	2.23757	2.68587	1.27399	19.4445	16.4363
3.63714	2.59278	1.97617	2.01777	9.23588	16.6643
1.69612	4.95634	3.9943	2.2376	15.0063	7.39234
4.76295	2.9499	1.74711	1.22812	19.9877	16.6696
4.84669	4.70409	2.0794	2.94246	16.112	9.44249
4.09943	1.7682	4.24792	3.70591	8.30875	16.0743
4.01669	4.00856	3.70488	4.31824	13.8141	14.7913
2.97766	1.967	3.7599	1.10748	19.8848	26.1417
1.5002	1.0998	2.81045	3.20311	1.44766	5.27443
2.98972	1.99	2.80185	3.48023	4.78983	5.21195
3.71616	4.18168	3.35144	4.32139	12.0518	12.8242
2.0753	1.53867	4.77818	2.76757	5.51301	9.97034
2.64854	1.0429	1.16497	3.24491	0.99166	5.18281
1.02023	3.42134	4.74068	4.96868	3.33039	7.38686
4.33897	3.85804	2.76844	2.1646	21.4097	14.4959
3.51004	1.67334	3.56636	4.2296	4.95249	5.3276
4.87878	1.85222	1.12735	3.8058	2.6768	16.6182
3.14337	4.78777	2.80061	1.0338	40.7703	36.9085
2.23823	2.98011	2.69584	2.23949	8.02939	6.68917
4.54322	1.02428	3.31082	1.68407	9.14866	16.6292
